duration,ies_1,ies_2,ies_3,ies_4,ies_5,ies_6,ies_7,ies_8,ies_9,ies_10,ies_11,ies_12,ies_13,ies_14,ies_15,ibq_1,ibq_2,ibq_3,ibq_4,ibq_5,ibq_6,ibq_7,ibq_8,ibq_9,ibq_10,ibq_11,ibq_12,id_1before,id_1after,tsc_1,tsc_2,tsc_3,tsc_4,tsc_5,tsc_6,tsc_7,tsc_8,tsc_9,tsc_10,tsc_11,tsc_12,tsc_13,tsc_14,tsc_15,tsc_16,tsc_17,tsc_18,tsc_19,tsc_20,tsc_21,tsc_22,tsc_23,tsc_24,tsc_25,tsc_26,tsc_27,tsc_28,tsc_29,tsc_30,tsc_31,tsc_32,tsc_33,tsc_34,tsc_35,tsc_36,tsc_37,tsc_38,tsc_39,tsc_40,att_1,att_2,att_3,att_4,att_5,age,gender,gendertext,raceethn,raceethntext,int,orient,orienttext,religion,religiontext,varsity,nonvarsity,frat,soror,housing,inperson,liveeug,student,studenttext,covid19
1624,3,4,1,1,1,1,1,1,1,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,1,10,3,6,22,1,,7,,0,4,,1,,2,2,2,2,2,2,1,2,,1
3130,2,1,1,1,1,1,3,3,1,1,1,1,1,1,4,0,1,0,0,0,0,2,0,0,2,2,2,2,0,1,3,1,1,0,1,0,2,1,1,0,2,0,2,2,0,3,0,0,0,0,3,0,2,1,0,1,0,0,0,2,2,1,2,0,0,1,0,0,1,2,1,10,3,6,19,2,,7,,0,4,,8,,2,1,2,2,2,2,1,2,,2
1822,3,4,3,1,3,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,0,1,1,3,1,2,1,0,1,3,0,1,3,0,0,2,0,0,1,3,1,2,0,1,0,0,2,0,0,3,2,3,0,2,2,1,1,0,2,1,10,3,6,20,1,,7,,0,5,,2,,2,1,2,2,2,2,1,3,,2
2420,4,4,2,4,4,3,2,3,3,4,4,3,3,3,4,0,0,0,1,0,1,0,1,1,1,1,0,4,1,3,1,1,3,2,3,1,0,3,3,1,3,0,3,3,3,2,2,1,2,2,3,3,1,1,3,0,0,2,0,3,0,3,3,3,0,3,3,3,1,2,1,10,3,6,18,1,,7,,0,2,,2,,2,2,2,2,1,1,3,1,,1
1344,3,1,4,1,1,1,1,4,4,2,3,3,4,3,4,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,2,2,1,0,3,0,3,0,1,0,3,0,2,3,1,0,0,1,0,0,3,0,0,3,0,0,3,0,1,3,2,1,1,0,0,1,1,2,0,2,1,10,3,6,18,1,,7,,0,4,,1,,2,2,2,2,1,2,3,1,,1
1776,4,3,2,2,2,1,2,2,2,2,3,3,2,1,2,1,0,0,0,2,2,2,2,0,2,0,0,3,0,2,1,1,1,0,1,0,3,0,1,0,3,1,1,3,1,2,2,2,1,0,2,0,2,1,2,0,3,0,0,3,1,3,3,0,1,2,1,1,1,2,1,10,3,6,19,2,,7,,0,4,,2,,2,2,2,2,2,2,1,3,,1
2194,4,4,1,1,2,1,1,1,3,1,4,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,1,1,3,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,2,1,10,3,6,18,2,,7,,0,2,,1,,2,2,2,2,1,2,1,1,,2
2205,2,4,2,1,2,1,1,1,1,1,2,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,3,6,18,2,,7,,0,4,,4,,2,2,2,2,1,2,3,1,,2
4025,3,2,3,1,2,2,2,3,2,3,3,3,3,3,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,2,0,1,0,1,1,1,0,1,1,2,1,2,1,0,2,0,1,2,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,2,1,10,3,6,18,1,,7,,0,2,,7,,2,2,2,2,1,1,1,1,,1
2178,3,2,1,2,2,1,2,1,2,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,2,2,0,2,1,2,0,2,1,0,2,0,0,3,0,1,0,0,2,0,0,1,1,0,2,1,0,2,0,0,1,0,0,2,2,1,10,2,6,18,1,,2,,0,7,straight,4,,2,2,2,2,2,2,2,1,,1
